Key,Id,English(en),Chinese (Simplified)(zh-Hans)
NexusVesture_000_AbyssalHeart,189587480576,,
NexusVesture_000_CogniThread,192561242112,,
NexusVesture_000_ImprintStep,197120450560,,
NexusVesture_000_TangibleNexus,198835920896,,
NexusVesture_000_VolitionVein,201415417856,,
NexusVesture_001_AbyssalHeart,204171075584,,一件贴身穿着的软甲，轻若无物，却始终温暖。心口位置，有一片银白色的痕迹，如同某个人的手掌轻轻按在那里。那是纯白向导最后一次拥抱主角时，掌心留下的温度——它没有消散，而是永远留在了渊心之上。
NexusVesture_001_CogniThread,206016569344,,一缕若有若无的银白色丝线，轻轻环绕在额前。不是冠冕，不是发饰，只是一缕“念头”。当ta思考与纯白向导有关的任何事情时，这缕丝线会微微发光，仿佛在说：她还在，在这里。
NexusVesture_001_ImprintStep,207656542208,,一双看似普通的靴子，但踩过的地面会留下淡淡的银白色足迹——不是脚印，是两行小小的光点，如同星星落在身后。这些足迹不会消失，会一直留在ta走过的路上，照亮后来者。
NexusVesture_001_TangibleNexus,209707556864,,一双近乎透明的手套，只有在被握住时才会显现银白色的光芒。手套内侧，隐约可见两只手的轮廓——一只大一些，一只小一些，轻轻交握。那是纯白最后一次握住ta的手时留下的痕迹。
NexusVesture_001_VolitionVein,213797003264,,一双看似普通的腿甲，轻巧得几乎感觉不到重量。但仔细看，会发现腿甲上隐约有淡淡的银白色足迹——那是纯白曾经走过的路。当ta迈步时，这些足迹会微微发光，仿佛在说：沿着这条路走下去，我在前面等你。
NexusVesture_002_AbyssalHeart,217055977472,,一件将愿望穿在离心脏最近处的胸衣。每一个愿望都会在胸口留下一道光痕，愿望越多，光痕越密。直到有一天，整个胸口都在发光——那是愿望即将实现的征兆。
NexusVesture_002_CogniThread,218930831360,,一顶由记忆丝线编织而成的冠冕，每一根丝线都是一段被记住的时光。戴上它的人，会看见自己最早的那个念头——那个让自己成为自己的最初一念。
NexusVesture_002_ImprintStep,221619380224,,一双能将足迹织入大地的战靴。每一步落下，都在地上织入一段记忆。走完一段路回头看，地面会浮现出淡淡的画面——那是ta走过的故事。
NexusVesture_002_TangibleNexus,223494234112,,一双布满丝线纹路的护手，双手所到之处，离散的丝线会自动交织成网。佩戴者伸手，便能触碰到那些看不见的羁绊——原来自己从未孤独。
NexusVesture_002_VolitionVein,225545248768,,一副为了追上梦想而生的腿甲。穿上它的人，双腿永远不会疲倦——因为梦想在前面跑，你在后面追。追得越久，腿甲越轻。
NexusVesture_003_AbyssalHeart,229034909696,,一件由无数羁绊丝线编织而成的软甲。每一根丝线都来自一段真实的羁绊——越重要的羁绊，丝线越坚韧。穿上它的人会发现：原来自己被这么多人爱着
NexusVesture_003_CogniThread,230544859136,,一层薄如蝉翼的面纱，拂过面庞时，会让被惘之雾侵蚀的记忆重新浮现。它不是阻挡，而是拂拭——拂去遗忘的尘埃，让记忆重新发光。
NexusVesture_003_ImprintStep,234068074496,,一双轻便的鞋子，踩过的地方会扬起淡淡的星尘，如同在银河上行走。这些星尘不会散去，会永远悬浮在那里，成为路上的灯。
NexusVesture_003_TangibleNexus,235607384064,,指尖划过之处，会留下淡淡的星尘轨迹。这些轨迹不会消散，会在夜空中永远闪烁——那是你存在过的证明。
NexusVesture_003_VolitionVein,237457072128,,一副沿着星辰轨迹前行的护腿。穿上它，抬头看星星，腿会自动迈步——沿着星星指引的方向，永远不会迷路。
NexusVesture_004_AbyssalHeart,241550712832,,一件能与万物共鸣的胸甲。穿上它，能听见山川的心跳、河流的呼吸、星辰的低语——然后发现，它们的心跳与自己的心跳，是同一个节奏。
NexusVesture_004_CogniThread,243329097728,,一枚将星辰轨迹编织进发间的发饰。佩戴者走过的每一步，都会在星图上留下痕迹。回头望去，能看见自己是如何一步步走到今天的。
NexusVesture_004_ImprintStep,245740822528,,一双靴底刻着羁绊纹路的短靴。每一步踩下，都在加深与这片土地的联结。走得越久，越能感受到——不是ta在走，是这片土地在托着ta走。
NexusVesture_004_TangibleNexus,247355629568,,一套可以分给伙伴们的指环。戴上同源指环的人，无论相隔多远，都能感受到彼此的心跳。当有人需要帮助时，指环会发烫。
NexusVesture_004_VolitionVein,249436004352,,一副与羁绊之网共振的绑腿。走得越远，与世界的联结越深。每一步落下，都能感受到脚下有无数的丝线在轻轻拉扯——那是爱你的人在说：别走太远，我们等你回来。
NexusVesture_005_AbyssalHeart,252825001984,,一枚可以凝结记忆的胸饰。将最珍贵的记忆放在里面，它会变成一颗小小的光球，在心口缓缓旋转，永不消散。
NexusVesture_005_CogniThread,254569832448,,一顶轻若无物的冠冕，当与伙伴心意相通时，会微微震动，发出只有佩戴者能听见的共鸣声。伙伴越多，共鸣越强。
NexusVesture_005_ImprintStep,256549543936,,一双能与万物共鸣的靴子。踩在大地上，听见大地的心跳；踩在河流里，听见河流的歌唱；踩在星光上，听见星星的低语。每一步，都是一次对话。
NexusVesture_005_TangibleNexus,258327928832,,一副轻巧的手甲，当伙伴需要帮助时，它会比意识更早行动——手会自己伸出去，去扶住那个快要倒下的人。
NexusVesture_005_VolitionVein,262052470784,,一副会在想要放弃时发光的膝甲。当双腿即将跪下时，膝甲会发出温暖的光——那是伙伴们的鼓励，从遥远的地方传来，支撑着你再站一会儿。
